method,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_only,reach-v3,clean,0.4,0.49403218175557095,0.06377928041432807,60,740.4929804946437,409.6669088508722,52.887770515723325,60,139.21666666666667,75.31495263488839,9.723118575844104,60,0.13320448132695129,0.07911376274123079,0.010213542851753056,60,0.6000441374842017,0.07816668560045903,0.010091275718626964,60,-6.134638816239287,0.6749173309452569,0.08713145276059131,60,,,,0,,,,0,,,,0,0.2833333333333333,0.5166666666666667
bc_plus_vjepa,reach-v3,clean,0.31666666666666665,0.46910179830729837,0.06056078175067057,60,823.2842314948672,444.4066351277868,57.372649893133136,60,151.1,73.65119350753758,9.508328196099763,60,0.15795863015789602,0.0922645658965369,0.011911304238744806,60,0.736040849772338,0.09871383431378257,0.012743901211251938,60,-5.826553602936638,0.8011550962304641,0.10342867818099293,60,0.006649714306392681,0.002484361667675727,0.00032072971216213917,60,5.392476872769906,4.519664922967803,0.5834862325697376,60,0.003217681207734425,0.0023758452808787136,0.000306720306866958,60,0.2,0.43333333333333335
bc_plus_de_vjepa,reach-v3,clean,0.35,0.48099473199130766,0.06209615288719448,60,843.1702460421255,487.93086996570554,62.9916044492558,60,144.7,76.52036396734478,9.878736509708547,60,0.1371414908126751,0.08002654766647006,0.010331382878890419,60,0.7526798915684452,0.0969517000175579,0.012516410651816636,60,-5.875847470356507,0.7385895704460771,0.09535150353400487,60,0.00558447819436664,0.0020514824061441256,0.00026484523980112393,60,4.483556005465888,3.2718204890562097,0.42239020886316353,60,0.002947955992745047,0.0020879944810520755,0.0002695589284029229,60,0.23333333333333334,0.4666666666666667
bc_only,reach-v3,brightness,0.11666666666666667,0.3237317715130933,0.04179359199028117,60,741.5881493961534,367.5358546923745,47.44867481192252,60,180.6,53.86681630006626,6.954176081445695,60,0.20315405948200943,0.07336415666555222,0.009471271899141187,60,0.8959290366894741,0.059671330710703054,0.007703535669619604,60,-4.820759339866628,0.41302591084211354,0.05332141580812184,60,,,,0,,,,0,,,,0,0.03333333333333333,0.2
bc_plus_vjepa,reach-v3,brightness,0.06666666666666667,0.2515488742932317,0.03247482002983031,60,608.363938197195,341.88397165150514,44.13703095138427,60,188.68333333333334,42.710095526549765,5.513849622975171,60,0.27310495604390606,0.12631644362944033,0.016307382750965677,60,1.0452413327899324,0.0490393018038926,0.006330946639870512,60,-4.707721733551597,0.42067900548283194,0.054309426077803556,60,0.00730628765586952,0.0012973288700002762,0.00016748443693550522,60,4.014773071216704,2.5004125980630167,0.32280187836484275,60,0.003166014424773202,0.0013243844616197874,0.00017097729879431042,60,0.016666666666666666,0.13333333333333333
bc_plus_de_vjepa,reach-v3,brightness,0.1,0.3025316904537664,0.03905667329424715,60,624.8744345434054,331.1305855901957,42.74877478035792,60,182.76666666666668,52.14366291238949,6.7317179356645935,60,0.25955540741658234,0.11866796987484671,0.015319969035117492,60,1.04578950070643,0.05820933688072145,0.0075147930777603785,60,-4.691878305719958,0.436275119509639,0.05632287574084941,60,0.006435483019107098,0.0007579718449583801,9.785374441393055e-05,60,4.859002828925075,1.8254706261364582,0.23566724446724427,60,0.003093998790146435,0.0007712670416140189,9.95701469216586e-05,60,0.03333333333333333,0.18333333333333332
bc_only,reach-v3,background_shift,0.08333333333333333,0.27871780678530217,0.03598231413236439,60,726.7579802956666,314.42845259986484,40.59253868310149,60,186.81666666666666,44.12059424076461,5.695944223975206,60,0.25418909286103103,0.07468271712277955,0.009641497322201488,60,0.668038065886879,0.04331375108916619,0.005591781221003801,60,-2.9395015451438957,0.18673324717759648,0.02410715855006881,60,,,,0,,,,0,,,,0,0.016666666666666666,0.16666666666666666
bc_plus_vjepa,reach-v3,background_shift,0.2,0.4033755872716886,0.05207556439232955,60,794.9778892188529,349.38253950383887,45.10509189846743,60,169.48333333333332,61.740982095011226,7.9707265144156265,60,0.18545942666639317,0.08555129324663546,0.011044624466357539,60,0.7911913623062493,0.08712377467352549,0.011247630945643057,60,-2.855379871781767,0.28062430385024384,0.036228441845101475,60,0.01449104934846102,0.0014779381084150233,0.00019080098935388924,60,3.024150099597874,0.8755016959918898,0.11302678293843126,60,0.0015560810620750415,0.0004067354615764887,5.2509322299924245e-05,60,0.1,0.3
bc_plus_de_vjepa,reach-v3,background_shift,0.16666666666666666,0.3758230140014145,0.0485185424782985,60,757.9278055273747,330.06266263862807,42.610906520142784,60,174.71666666666667,57.40049360995659,7.410371860514904,60,0.19081188319969186,0.07913152233196448,0.010215835605057956,60,0.8257937470940325,0.06534379251164987,0.008435847339188429,60,-2.7201054922054224,0.3259729498240227,0.042082926866084856,60,0.013184253654629056,0.0019245008486480253,0.00024845199121919473,60,4.2022024179326785,2.1823316340516152,0.28173780248611746,60,0.0014311367831272104,0.00041144999470560666,5.311796590973148e-05,60,0.08333333333333333,0.26666666666666666
bc_only,button-press-v3,clean,0.9833333333333333,0.12909944487358058,0.016666666666666666,60,57.735870374298095,18.37911312628397,2.372733301871998,60,72.55,17.52907995497187,2.262994491331477,60,0.019541187766524085,0.0007961149852614102,0.00010277800265278683,60,0.8551658000888863,0.03685247309863831,0.004757633819252767,60,-2.6390320688236764,0.4715602087750488,0.06087816117732855,60,,,,0,,,,0,,,,0,0.95,1.0
