dataset,method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
metaworld-5,action_mse,0.1,strong_bc,none,nll,blur,latent_mse,30,0.2412707952579706,0.0236703271681766,0.0043215907111792,0.2879303010895259,-16.20513911005409,-47.98012170209219,3.505090169640812e-29,0.0,1.718092931245674e-06
metaworld-5,action_mse,0.1,strong_bc,none,nll,blur,decision_kl,30,618.4181032708268,526.7814376623841,96.17669209422976,480.4122985604141,28.7265345046236,2.7266826101084782,0.0107409603294451,64.0,0.0002562887966632
metaworld-5,action_mse,0.1,strong_bc,none,nll,blur,action_mse,30,0.1460763398727701,0.0666291291519003,0.0121647590078069,0.1469496687375253,-0.5943047522721167,-0.2974296186637262,0.7682587873707613,206.0,0.5978077705949545
metaworld-5,action_mse,0.1,strong_bc,none,nll,blur,nll,30,,,,,,,,,
metaworld-5,action_mse,0.1,strong_bc,none,nll,blur,uncertainty,30,,,,,,,,,
metaworld-5,action_mse,0.1,strong_bc,none,nll,brightness,latent_mse,30,0.0512818211753605,0.0032168417705148,0.0005873122672119,0.0632110911000618,-18.87211518911689,-55.20790648166084,6.252035901006457e-31,0.0,1.718092931245674e-06
metaworld-5,action_mse,0.1,strong_bc,none,nll,brightness,decision_kl,30,308.9313382765309,365.36521491094766,66.7062566448163,386.5413928333798,-20.07807080839672,-2.100525934623912,0.044492214559927,211.0,0.6701805889606476
metaworld-5,action_mse,0.1,strong_bc,none,nll,brightness,action_mse,30,0.0794703045485522,0.0314515573330721,0.0057422424733302,0.0849182889444727,-6.415560727422254,-1.894283522929743,0.0681997755566291,150.0,0.0919496268033981
metaworld-5,action_mse,0.1,strong_bc,none,nll,brightness,nll,30,,,,,,,,,
metaworld-5,action_mse,0.1,strong_bc,none,nll,brightness,uncertainty,30,,,,,,,,,
metaworld-5,action_mse,0.1,strong_bc,none,nll,clean,latent_mse,30,0.001506224163895,0.0003690515794226,6.737929164422966e-05,0.0051731863312976,-70.88401485207677,-9.015867317692432,6.555600958553143e-10,0.0,1.718092931245674e-06
metaworld-5,action_mse,0.1,strong_bc,none,nll,clean,decision_kl,30,0.3387204886968092,0.1283458985997448,0.0234326479421169,0.913281673561569,-62.91171732638799,-6.369114789156568,5.81617441246163e-07,0.0,1.862645149230957e-09
metaworld-5,action_mse,0.1,strong_bc,none,nll,clean,action_mse,30,0.0006699093242289,0.0006331650486202,0.000115599593251,0.0031221558634152,-78.54337344016574,-6.826741306384134,1.6964978987396906e-07,0.0,1.862645149230957e-09
metaworld-5,action_mse,0.1,strong_bc,none,nll,clean,nll,30,,,,,,,,,
metaworld-5,action_mse,0.1,strong_bc,none,nll,clean,uncertainty,30,,,,,,,,,
metaworld-5,action_mse,0.1,strong_bc,none,nll,desaturation,latent_mse,30,0.1986431287782855,0.0250745213890503,0.0045779603278095,0.2531476701503568,-21.53073000422969,-31.882340057412623,3.9571146995726444e-24,0.0,1.718092931245674e-06
metaworld-5,action_mse,0.1,strong_bc,none,nll,desaturation,decision_kl,30,3317.118881435123,5895.794868051366,1076.419947884976,4263.651750858989,-22.200051147075268,-3.0149522408117,0.0052976131036304,32.0,5.144625902175903e-06
metaworld-5,action_mse,0.1,strong_bc,none,nll,desaturation,action_mse,30,0.327967599622864,0.2981693189181279,0.0544380206424701,0.3626992272842118,-9.575875835580971,-4.521176038042678,9.5762293662737e-05,35.0,7.994472980499268e-06
metaworld-5,action_mse,0.1,strong_bc,none,nll,desaturation,nll,30,,,,,,,,,
metaworld-5,action_mse,0.1,strong_bc,none,nll,desaturation,uncertainty,30,,,,,,,,,
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,blur,latent_mse,30,0.221821562219689,0.0236758926970703,0.0043226068330857,0.2879303010895259,-22.95997976582595,-32.4961316649064,2.309643265251136e-24,0.0,1.718092931245674e-06
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,blur,decision_kl,30,463.1012042900775,318.6054113561548,58.16912358099286,480.4122985604141,-3.6033828280854654,-1.1279422562902817,0.2685900470751595,177.0,0.2621222734451294
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,blur,action_mse,30,0.1355063513046297,0.0655195298298601,0.0119621748149823,0.1469496687375253,-7.787235950381889,-4.170186041538341,0.0002515622199534,58.0,0.0001373942941427
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,blur,nll,30,66.68470951190811,24.927629709188004,4.551141698952738,,,,,,
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,blur,uncertainty,30,0.039509479039206,0.01026022810554,0.0018732527928509,,,,,,
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,brightness,latent_mse,30,0.0487755976282312,0.0040787279584152,0.0007446704362503,0.0632110911000618,-22.836962976923537,-51.10930274975103,5.7277708090940914e-30,0.0,1.718092931245674e-06
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,brightness,decision_kl,30,215.528050090194,229.4157665045202,41.885396787287945,386.5413928333798,-44.24192231772233,-3.0275012110257107,0.0051338704573312,75.0,0.000729601830244
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,brightness,action_mse,30,0.0724797288447886,0.0292384090090235,0.0053381787199348,0.0849182889444727,-14.647681028780047,-4.902445645580674,3.326666247692762e-05,38.0,1.218356192111969e-05
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,brightness,nll,30,33.89328411802584,15.147789874959868,2.765595403621293,,,,,,
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,brightness,uncertainty,30,0.0218610525587613,0.0067181416915918,0.0012265592496669,,,,,,
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,clean,latent_mse,30,0.0020453831824727,0.0007918751151343,0.0001445759544286,0.0051731863312976,-60.461830456438896,-9.585065630287309,1.7108706756840623e-10,0.0,1.718092931245674e-06
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,clean,decision_kl,30,0.4256946233285694,0.1260870488873932,0.0230202402949606,0.913281673561569,-53.38846320342032,-5.456227292951642,7.1430990067088965e-06,0.0,1.862645149230957e-09
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,clean,action_mse,30,0.0009997014612538,0.0008684966424859,0.0001585650674023,0.0031221558634152,-67.98041145324763,-7.088073531542899,8.476078277828749e-08,0.0,1.862645149230957e-09
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,clean,nll,30,-0.5640194415752753,0.18250234459366,0.0333202169771762,,,,,,
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,clean,uncertainty,30,0.0334659145006149,0.0124030366552208,0.0022644743192092,,,,,,
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,latent_mse,30,0.1964105265836034,0.0239938210539089,0.0043806523439894,0.2531476701503568,-22.41266669886965,-35.90365274371833,1.3714071388344233e-25,0.0,1.718092931245674e-06
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,decision_kl,30,3756.410986418582,6535.291183177846,1193.175466963711,4263.651750858989,-11.896861987806904,-3.77081921088804,0.0007426030287803,19.0,5.718320608139038e-07
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,action_mse,30,0.3344434358501427,0.3027672359444382,0.0552774816000859,0.3626992272842118,-7.790419529051752,-4.463215533306667,0.0001123942876554,32.0,5.144625902175903e-06
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,nll,30,79.63892707737543,22.20693955220175,4.054413908631523,,,,,,
metaworld-5,bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,uncertainty,30,0.0262448585610771,0.007680812790972,0.0014023181418632,,,,,,
metaworld-5,cosine_jepa,0.0,none,none,nll,blur,latent_mse,30,0.2636071202277942,0.0270995049683616,0.0049476700561316,0.2879303010895259,-8.447593313275112,-17.62419320555182,4.904502115376206e-17,0.0,1.718092931245674e-06
metaworld-5,cosine_jepa,0.0,none,none,nll,blur,decision_kl,30,607.8599720329286,475.4098752757399,86.79757091641343,480.4122985604141,26.52881157589418,3.5160495601977275,0.0014614341709649,31.0,4.421919584274292e-06
metaworld-5,cosine_jepa,0.0,none,none,nll,blur,action_mse,30,0.1427446057533343,0.0649407207973923,0.0118564992271255,0.1469496687375253,-2.8615668346295697,-1.9536473909974588,0.060449827379955,182.0,0.308520769700408
metaworld-5,cosine_jepa,0.0,none,none,nll,blur,nll,30,,,,,,,,,
metaworld-5,cosine_jepa,0.0,none,none,nll,blur,uncertainty,30,,,,,,,,,
