method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
action_mse,0.1,strong_bc,none,nll,blur,latent_mse,30,0.24127079525797063,0.0236703271681766,0.004321590711179235,0.2879303010895259,-16.20513911005409,-47.98012170209219,3.5050901696408114e-29,0.0,1.7180929312456739e-06
action_mse,0.1,strong_bc,none,nll,blur,decision_kl,30,618.4181032708268,526.7814376623841,96.17669209422975,480.4122985604141,28.726534504623597,2.7266826101084782,0.010740960329445165,64.0,0.0002562887966632843
action_mse,0.1,strong_bc,none,nll,blur,action_mse,30,0.14607633987277013,0.06662912915190031,0.012164759007806952,0.14694966873752538,-0.5943047522721167,-0.2974296186637262,0.7682587873707613,206.0,0.5978077705949545
action_mse,0.1,strong_bc,none,nll,blur,nll,30,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,blur,uncertainty,30,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,brightness,latent_mse,30,0.05128182117536054,0.0032168417705148917,0.0005873122672119544,0.06321109110006182,-18.87211518911689,-55.207906481660835,6.252035901006457e-31,0.0,1.7180929312456739e-06
action_mse,0.1,strong_bc,none,nll,brightness,decision_kl,30,308.9313382765309,365.36521491094766,66.7062566448163,386.5413928333798,-20.07807080839672,-2.1005259346239122,0.04449221455992705,211.0,0.6701805889606476
action_mse,0.1,strong_bc,none,nll,brightness,action_mse,30,0.07947030454855222,0.031451557333072123,0.005742242473330208,0.08491828894447277,-6.415560727422254,-1.894283522929743,0.0681997755566291,150.0,0.09194962680339813
action_mse,0.1,strong_bc,none,nll,brightness,nll,30,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,brightness,uncertainty,30,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,clean,latent_mse,30,0.0015062241638950172,0.0003690515794226394,6.737929164422966e-05,0.005173186331297646,-70.88401485207677,-9.015867317692432,6.555600958553144e-10,0.0,1.7180929312456739e-06
action_mse,0.1,strong_bc,none,nll,clean,decision_kl,30,0.3387204886968092,0.12834589859974488,0.023432647942116993,0.913281673561569,-62.91171732638799,-6.369114789156568,5.81617441246163e-07,0.0,1.862645149230957e-09
action_mse,0.1,strong_bc,none,nll,clean,action_mse,30,0.0006699093242289787,0.00063316504862022,0.00011559959325104992,0.003122155863415249,-78.54337344016574,-6.826741306384134,1.6964978987396903e-07,0.0,1.862645149230957e-09
action_mse,0.1,strong_bc,none,nll,clean,nll,30,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,clean,uncertainty,30,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,desaturation,latent_mse,30,0.19864312877828555,0.025074521389050385,0.004577960327809555,0.25314767015035683,-21.53073000422969,-31.882340057412623,3.9571146995726444e-24,0.0,1.7180929312456739e-06
action_mse,0.1,strong_bc,none,nll,desaturation,decision_kl,30,3317.118881435123,5895.794868051366,1076.419947884976,4263.651750858989,-22.200051147075268,-3.0149522408117,0.0052976131036304615,32.0,5.144625902175903e-06
action_mse,0.1,strong_bc,none,nll,desaturation,action_mse,30,0.32796759962286404,0.2981693189181279,0.05443802064247018,0.3626992272842118,-9.575875835580971,-4.521176038042678,9.576229366273701e-05,35.0,7.994472980499268e-06
action_mse,0.1,strong_bc,none,nll,desaturation,nll,30,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,desaturation,uncertainty,30,,,,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,blur,latent_mse,30,0.22182156221968902,0.023675892697070346,0.004322606833085752,0.2879303010895259,-22.95997976582595,-32.4961316649064,2.3096432652511357e-24,0.0,1.7180929312456739e-06
bjepa,0.0,none,empirical_task_gaussian,nll,blur,decision_kl,30,463.1012042900775,318.6054113561548,58.16912358099286,480.4122985604141,-3.6033828280854654,-1.1279422562902817,0.2685900470751595,177.0,0.2621222734451294
bjepa,0.0,none,empirical_task_gaussian,nll,blur,action_mse,30,0.1355063513046297,0.06551952982986012,0.011962174814982334,0.14694966873752538,-7.787235950381889,-4.170186041538341,0.0002515622199534662,58.0,0.00013739429414272308
bjepa,0.0,none,empirical_task_gaussian,nll,blur,nll,30,66.68470951190811,24.927629709188004,4.551141698952738,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,blur,uncertainty,30,0.03950947903920601,0.01026022810554,0.0018732527928509181,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,latent_mse,30,0.04877559762823129,0.004078727958415244,0.0007446704362503407,0.06321109110006182,-22.836962976923537,-51.10930274975103,5.7277708090940914e-30,0.0,1.7180929312456739e-06
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,decision_kl,30,215.528050090194,229.4157665045202,41.885396787287945,386.5413928333798,-44.24192231772233,-3.0275012110257107,0.005133870457331264,75.0,0.0007296018302440643
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,action_mse,30,0.07247972884478861,0.029238409009023515,0.0053381787199348165,0.08491828894447277,-14.647681028780049,-4.902445645580674,3.326666247692762e-05,38.0,1.218356192111969e-05
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,nll,30,33.89328411802584,15.147789874959868,2.765595403621293,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,brightness,uncertainty,30,0.02186105255876134,0.006718141691591831,0.0012265592496669203,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,latent_mse,30,0.002045383182472792,0.0007918751151343699,0.0001445759544286983,0.005173186331297646,-60.461830456438896,-9.585065630287307,1.7108706756840625e-10,0.0,1.7180929312456739e-06
