method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
action_mse,0.1,strong_bc,none,nll,blur,latent_mse,6,0.21970686233635314,0.023706331339345167,0.009678069242457565,0.283264537658031,-22.437568728919885,-9.226444074697715,0.00025116996375413285,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,blur,decision_kl,6,4.2042776443745916e-11,1.0298334965708184e-10,4.204277644374592e-11,9.705296916462195e-11,-56.68058710039808,-1.1421500237786244,0.3051191106883333,0.0,0.5
action_mse,0.1,strong_bc,none,nll,blur,action_mse,6,5.142020442951272e-09,8.954278899645882e-09,3.6555690531170723e-09,1.2751295700236803e-08,-59.67452591617195,-1.686417960343437,0.15252421062878468,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,blur,nll,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,blur,uncertainty,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,brightness,latent_mse,6,0.08974745943922614,0.000737773453320536,0.0003011947510677295,0.12534608502761713,-28.40026920708983,-57.369660692027416,3.044245763559373e-08,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,brightness,decision_kl,6,0.0,0.0,0.0,0.0,,,,0.0,1.0
action_mse,0.1,strong_bc,none,nll,brightness,action_mse,6,5.802140581928812e-11,3.7782173239031046e-11,1.542450763484394e-11,5.453086309402283e-10,-89.35989593283225,-3.3046034278668808,0.0213669230765938,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,brightness,nll,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,brightness,uncertainty,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,clean,latent_mse,6,0.02477672902194392,0.0004168976358114575,0.00017019774711845372,0.027129893054663175,-8.673694466756427,-29.496919483757306,8.3962881845935e-07,0.0,0.03125
action_mse,0.1,strong_bc,none,nll,clean,decision_kl,6,0.0,0.0,0.0,0.0,,,,0.0,1.0
action_mse,0.1,strong_bc,none,nll,clean,action_mse,6,7.745666118708177e-13,1.7699353844004786e-13,7.225730949129957e-14,7.30749452201088e-13,5.996194665319037,1.129730150089912,0.30985461540464465,5.0,0.3125
action_mse,0.1,strong_bc,none,nll,clean,nll,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,clean,uncertainty,6,,,,,,,,,
action_mse,0.1,strong_bc,none,nll,desaturation,latent_mse,6,0.08551173428118791,0.0023213721971738744,0.0009476962310265758,0.12343264818891042,-30.721947932029742,-84.41902087592386,4.4202781574495904e-09,0.0,0.03125
