method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
action_mse,0.1,strong_bc,none,nll,clean,latent_mse,1,0.02782421352360201,0.0,0.0,0.027734423191114202,0.3237504954369314,,,,
action_mse,0.1,strong_bc,none,nll,clean,decision_kl,1,5.800406931430084e-05,0.0,0.0,5.82115480777936e-05,-0.35642199931787555,,,,
action_mse,0.1,strong_bc,none,nll,clean,action_mse,1,0.00042859450584201175,0.0,0.0,0.0004301303161404621,-0.3570569757163583,,,,
action_mse,0.1,strong_bc,none,nll,clean,nll,1,,0.0,0.0,,,,,,
action_mse,0.1,strong_bc,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,latent_mse,1,0.03444466596430268,0.0,0.0,0.027734423191114202,24.19463612763493,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,decision_kl,1,0.00018488834645792292,0.0,0.0,5.82115480777936e-05,217.61454997011782,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,action_mse,1,0.0013661505517272828,0.0,0.0,0.0004301303161404621,217.6131745341002,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,nll,1,1.0098334455658111,0.0,0.0,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,uncertainty,1,0.48470595557177737,0.0,0.0,,,,,,
cosine_jepa,0.0,none,none,nll,clean,latent_mse,1,0.028371851955582172,0.0,0.0,0.027734423191114202,2.2983307064853453,,,,
cosine_jepa,0.0,none,none,nll,clean,decision_kl,1,5.704570502584558e-05,0.0,0.0,5.82115480777936e-05,-2.00276936526408,,,,
cosine_jepa,0.0,none,none,nll,clean,action_mse,1,0.0004215210668061388,0.0,0.0,0.0004301303161404621,-2.0015444183459685,,,,
cosine_jepa,0.0,none,none,nll,clean,nll,1,,0.0,0.0,,,,,,
cosine_jepa,0.0,none,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,latent_mse,1,0.034444660968629325,0.0,0.0,0.027734423191114202,24.194618115097512,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,decision_kl,1,0.00018488755312931748,0.0,0.0,5.82115480777936e-05,217.61318713296325,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,action_mse,1,0.0013661445733472697,0.0,0.0,0.0004301303161404621,217.61178463439103,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,nll,1,1.0098334367458637,0.0,0.0,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,uncertainty,1,0.48470591282536546,0.0,0.0,,,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,latent_mse,1,0.027824213097452203,0.0,0.0,0.027734423191114202,0.3237489588994542,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,decision_kl,1,5.800583097046847e-05,0.0,0.0,5.82115480777936e-05,-0.35339569916644376,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,action_mse,1,0.00042860820528053815,0.0,0.0,0.0004301303161404621,-0.35387202501366816,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,nll,1,,0.0,0.0,,,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
linear_dynamics,0.0,none,none,nll,clean,latent_mse,1,0.05177752750844231,0.0,0.0,0.027734423191114202,86.69047901825934,,,,
linear_dynamics,0.0,none,none,nll,clean,decision_kl,1,0.00010250148579059723,0.0,0.0,5.82115480777936e-05,76.08445261344843,,,,
linear_dynamics,0.0,none,none,nll,clean,action_mse,1,0.0007573898576824574,0.0,0.0,0.0004301303161404621,76.08381210570761,,,,
linear_dynamics,0.0,none,none,nll,clean,nll,1,,0.0,0.0,,,,,,
linear_dynamics,0.0,none,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
