method,lambda,reference_policy_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
hybrid_lambda_1e-1,0.1,strong,brightness,latent_mse,6,0.05651600359277026,0.0004256880776662175,0.00017378642997808145,0.051143187149891946,10.505439223276221,6.228847986175826,0.001560405209940989,0.0,0.03125
hybrid_lambda_1e-1,0.1,strong,brightness,decision_kl,6,10.957969362753447,2.575532821364657,1.0514568713556913,12.828301030898432,-14.579730111104166,-2.6042270331940864,0.04800348959490598,0.0,0.03125
hybrid_lambda_1e-1,0.1,strong,brightness,action_mse,6,0.02436975146720743,0.002350551831303589,0.0009596087667763928,0.02375813567235598,2.5743425464275935,1.1213120744008338,0.3131006295538929,5.0,0.3125
hybrid_lambda_1e-1,0.1,strong,clean,latent_mse,6,0.0023947384974771922,0.0001967098062002734,8.030644209873943e-05,0.0012107758611964847,97.7854509843564,20.54431768017318,5.056888286751082e-06,0.0,0.03125
hybrid_lambda_1e-1,0.1,strong,clean,decision_kl,6,0.34500170522672047,0.0674443850823689,0.02753405491126357,0.2998525403094812,15.05712270125852,8.269031521088273,0.00042196675045330596,0.0,0.03125
hybrid_lambda_1e-1,0.1,strong,clean,action_mse,6,0.00031437799053923545,2.5622297710513397e-05,1.0460259238073247e-05,0.00021503744105378213,46.196861810966055,17.071051219335803,1.2623115314882903e-05,0.0,0.03125
hybrid_lambda_1e-2,0.01,strong,brightness,latent_mse,6,0.0515562788313674,0.0009138339932899961,0.0003730711655284062,0.051143187149891946,0.807715952986574,1.0887232360518435,0.32594637472800664,3.0,0.125
hybrid_lambda_1e-2,0.01,strong,brightness,decision_kl,6,12.053791074770217,3.0096045831396268,1.2286659260389599,12.828301030898432,-6.037509988756258,-1.3789502036680106,0.2264046926124107,10.0,1.0
hybrid_lambda_1e-2,0.01,strong,brightness,action_mse,6,0.023437583008883156,0.0037478027438532626,0.0015300340631738698,0.02375813567235598,-1.3492332390617916,-0.7943277842726927,0.46302177756949314,7.0,0.5625
hybrid_lambda_1e-2,0.01,strong,clean,latent_mse,6,0.001462205569854344,0.0001439919871831419,5.878448260801216e-05,0.0012107758611964847,20.765999448436084,8.468850025359668,0.00037704888517298043,0.0,0.03125
hybrid_lambda_1e-2,0.01,strong,clean,decision_kl,6,0.2702708022118108,0.056391863420000105,0.023021881837286696,0.2998525403094812,-9.865428542689266,-5.836314276810684,0.002088654239227024,0.0,0.03125
hybrid_lambda_1e-2,0.01,strong,clean,action_mse,6,0.0002268362931809483,2.94538734425832e-05,1.2024493480473568e-05,0.00021503744105378213,5.486882688589665,1.9339093771596805,0.11093312870987411,3.0,0.15625
hybrid_lambda_1e-3,0.001,strong,brightness,latent_mse,6,0.05087270936569565,0.0020023219218483924,0.000817444501552923,0.051143187149891946,-0.5288637632292491,-2.4396076829237967,0.05868204724428292,0.0,0.03125
hybrid_lambda_1e-3,0.001,strong,brightness,decision_kl,6,12.759861449206175,3.012875601041706,1.2300013135055603,12.828301030898432,-0.5335046435799421,-0.35954338882693143,0.7338748814731652,10.0,1.0
hybrid_lambda_1e-3,0.001,strong,brightness,action_mse,6,0.023587700825636576,0.0036788464519430723,0.0015018827748848073,0.02375813567235598,-0.717374667229107,-1.1899800138643104,0.28747131594500414,5.0,0.3125
