run_id,name,method,seed,horizon,lambda_de,checkpoint
vjepa_k1_lambda0p0_20260614T025855Z,vjepa_k1,vjepa,42,1,0.0,outputs/multistep_training/vjepa_strong_h1_seed42_vjepa_k1_lambda0p0_20260614T025855Z/predictor.pt
de_vjepa_k1_lambda0p001_20260614T025855Z,de_vjepa_k1,hybrid,42,1,0.001,outputs/multistep_training/hybrid_strong_h1_seed42_de_vjepa_k1_lambda0p001_20260614T025855Z/predictor.pt
de_vjepa_k1_lambda0p01_20260614T025855Z,de_vjepa_k1,hybrid,42,1,0.01,outputs/multistep_training/hybrid_strong_h1_seed42_de_vjepa_k1_lambda0p01_20260614T025855Z/predictor.pt
de_vjepa_k3_lambda0p001_20260614T025855Z,de_vjepa_k3,hybrid,42,3,0.001,outputs/multistep_training/hybrid_strong_h3_seed42_de_vjepa_k3_lambda0p001_20260614T025855Z/predictor.pt
de_vjepa_k3_lambda0p01_20260614T025855Z,de_vjepa_k3,hybrid,42,3,0.01,outputs/multistep_training/hybrid_strong_h3_seed42_de_vjepa_k3_lambda0p01_20260614T025855Z/predictor.pt
vjepa_k1_lambda0p0_20260614T025855Z,vjepa_k1,vjepa,1000,1,0.0,outputs/multistep_training/vjepa_strong_h1_seed1000_vjepa_k1_lambda0p0_20260614T025855Z/predictor.pt
de_vjepa_k1_lambda0p001_20260614T025855Z,de_vjepa_k1,hybrid,1000,1,0.001,outputs/multistep_training/hybrid_strong_h1_seed1000_de_vjepa_k1_lambda0p001_20260614T025855Z/predictor.pt
de_vjepa_k1_lambda0p01_20260614T025855Z,de_vjepa_k1,hybrid,1000,1,0.01,outputs/multistep_training/hybrid_strong_h1_seed1000_de_vjepa_k1_lambda0p01_20260614T025855Z/predictor.pt
de_vjepa_k3_lambda0p001_20260614T025855Z,de_vjepa_k3,hybrid,1000,3,0.001,outputs/multistep_training/hybrid_strong_h3_seed1000_de_vjepa_k3_lambda0p001_20260614T025855Z/predictor.pt
de_vjepa_k3_lambda0p01_20260614T025855Z,de_vjepa_k3,hybrid,1000,3,0.01,outputs/multistep_training/hybrid_strong_h3_seed1000_de_vjepa_k3_lambda0p01_20260614T025855Z/predictor.pt
vjepa_k1_lambda0p0_20260614T025855Z,vjepa_k1,vjepa,10000,1,0.0,outputs/multistep_training/vjepa_strong_h1_seed10000_vjepa_k1_lambda0p0_20260614T025855Z/predictor.pt
de_vjepa_k1_lambda0p001_20260614T025855Z,de_vjepa_k1,hybrid,10000,1,0.001,outputs/multistep_training/hybrid_strong_h1_seed10000_de_vjepa_k1_lambda0p001_20260614T025855Z/predictor.pt
de_vjepa_k1_lambda0p01_20260614T025855Z,de_vjepa_k1,hybrid,10000,1,0.01,outputs/multistep_training/hybrid_strong_h1_seed10000_de_vjepa_k1_lambda0p01_20260614T025855Z/predictor.pt
de_vjepa_k3_lambda0p001_20260614T025855Z,de_vjepa_k3,hybrid,10000,3,0.001,outputs/multistep_training/hybrid_strong_h3_seed10000_de_vjepa_k3_lambda0p001_20260614T025855Z/predictor.pt
de_vjepa_k3_lambda0p01_20260614T025855Z,de_vjepa_k3,hybrid,10000,3,0.01,outputs/multistep_training/hybrid_strong_h3_seed10000_de_vjepa_k3_lambda0p01_20260614T025855Z/predictor.pt
