method,planner_score,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_stderr,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_stderr,mean_selected_planner_score_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_only,bc_only,reach-v3,clean,0.4,0.5477225575051662,0.24494897427831783,5,591.107714662476,321.13251667979074,143.61482741631943,5,135.4,88.45789959070925,39.559575326335334,5,0.14521415082822217,0.09488300757984369,0.04243297097163166,5,0.6594852541565352,0.08620839133851753,0.038553564652765854,5,0.0,0.0,0.0,5,,,,0,-5.473783823795325,0.98056169013904,0.4385205190565957,5,,,,0,,,,0,,,,0,0.0,0.8
bc_plus_vjepa,entropy_score,reach-v3,clean,0.4,0.5477225575051662,0.24494897427831783,5,632.7624562985638,428.26808080335456,191.5273082539347,5,134.4,89.82928253080952,40.172876421784885,5,0.1499749305760872,0.11911284012664032,0.05326888150324648,5,0.75672371278335,0.13372309779078886,0.059802787364411164,5,0.1495459372264883,0.007574793089247781,0.0033875504526107336,5,-5.7505015421779,1.071029563107684,0.47897898180413645,5,-5.551298669499319,1.0283536293057847,0.45989372400727085,5,0.00685399642330152,0.0035687025021232557,0.0015959722772442373,5,5.9011308195804855,5.281019198371629,2.3617435836080816,5,0.00226926737409518,0.0015794527504951323,0.000706352743471226,5,0.0,0.8
bc_plus_de_vjepa,entropy_score,reach-v3,clean,0.4,0.5477225575051662,0.24494897427831783,5,781.1621788695709,505.2422992908319,225.95122526451877,5,134.8,89.4158822581313,39.987998199459796,5,0.1405365108937004,0.1132189812197831,0.05063306767014141,5,0.7914499140368265,0.06775435925204941,0.030300670611904855,5,0.14595170085611892,0.005656411166787399,0.002529623975525105,5,-6.190296638430971,0.6793768143587995,0.30382654784870616,5,-5.699499230854439,0.9810207865377795,0.43872583320775704,5,0.005918238376815759,0.0024516095612280857,0.0010963931266388864,5,7.740584546366819,8.817622349221134,3.9433605945559687,5,0.0033926119920759798,0.0035331794768122056,0.0015800858973718467,5,0.0,0.8
bc_plus_vjepa,decision_consistency_score,reach-v3,clean,0.4,0.5477225575051662,0.24494897427831783,5,548.4609632246389,276.79363205072696,123.785875400898,5,136.4,87.22843573055749,39.009742372899616,5,0.14997984664810543,0.0943208697508178,0.042181575291946445,5,0.7876406305882276,0.11553168661165214,0.051667340963771305,5,0.15315659013836108,0.00581894247997429,0.0026023101884767442,5,6.385986711229334,7.125389561190785,3.1865710849979982,5,-5.482653959681006,1.0248533325106275,0.4583283436921916,5,0.00597974553906614,0.00271361003348433,0.0012135632998592884,5,6.753631783798428,7.293788593032712,3.2618814215067387,5,0.00305275654591168,0.0026310985808548244,0.0011766630564589227,5,0.0,0.8
bc_plus_de_vjepa,decision_consistency_score,reach-v3,clean,0.2,0.44721359549995804,0.20000000000000004,5,755.112064022205,402.17400719367436,179.85768377370906,5,169.0,69.31810730249349,31.0,5,0.16455776116068446,0.08130744148057122,0.036361793245428674,5,0.7837291304154529,0.09136186809582197,0.04085826952272544,5,0.1581034918108748,0.0048465449627165145,0.002167440798528662,5,10.270687396811942,8.47342416377071,3.7894304864761237,5,-4.692775516211986,1.0426191943750882,0.4662734786537527,5,0.00640878429346934,0.002385286786443589,0.0010667326800639777,5,10.825790389751807,8.664834628532676,3.87503184863864,5,0.004375250300920579,0.00271604502132831,0.0012146522595279934,5,0.0,0.6
bc_only,bc_only,ALL,clean,0.4,0.5477225575051662,0.24494897427831783,5,591.107714662476,321.13251667979074,143.61482741631943,5,135.4,88.45789959070925,39.559575326335334,5,0.14521415082822217,0.09488300757984369,0.04243297097163166,5,0.6594852541565352,0.08620839133851753,0.038553564652765854,5,0.0,0.0,0.0,5,,,,0,-5.473783823795325,0.98056169013904,0.4385205190565957,5,,,,0,,,,0,,,,0,0.0,0.8
bc_plus_vjepa,entropy_score,ALL,clean,0.4,0.5477225575051662,0.24494897427831783,5,632.7624562985638,428.26808080335456,191.5273082539347,5,134.4,89.82928253080952,40.172876421784885,5,0.1499749305760872,0.11911284012664032,0.05326888150324648,5,0.75672371278335,0.13372309779078886,0.059802787364411164,5,0.1495459372264883,0.007574793089247781,0.0033875504526107336,5,-5.7505015421779,1.071029563107684,0.47897898180413645,5,-5.551298669499319,1.0283536293057847,0.45989372400727085,5,0.00685399642330152,0.0035687025021232557,0.0015959722772442373,5,5.9011308195804855,5.281019198371629,2.3617435836080816,5,0.00226926737409518,0.0015794527504951323,0.000706352743471226,5,0.0,0.8
bc_plus_de_vjepa,entropy_score,ALL,clean,0.4,0.5477225575051662,0.24494897427831783,5,781.1621788695709,505.2422992908319,225.95122526451877,5,134.8,89.4158822581313,39.987998199459796,5,0.1405365108937004,0.1132189812197831,0.05063306767014141,5,0.7914499140368265,0.06775435925204941,0.030300670611904855,5,0.14595170085611892,0.005656411166787399,0.002529623975525105,5,-6.190296638430971,0.6793768143587995,0.30382654784870616,5,-5.699499230854439,0.9810207865377795,0.43872583320775704,5,0.005918238376815759,0.0024516095612280857,0.0010963931266388864,5,7.740584546366819,8.817622349221134,3.9433605945559687,5,0.0033926119920759798,0.0035331794768122056,0.0015800858973718467,5,0.0,0.8
bc_plus_vjepa,decision_consistency_score,ALL,clean,0.4,0.5477225575051662,0.24494897427831783,5,548.4609632246389,276.79363205072696,123.785875400898,5,136.4,87.22843573055749,39.009742372899616,5,0.14997984664810543,0.0943208697508178,0.042181575291946445,5,0.7876406305882276,0.11553168661165214,0.051667340963771305,5,0.15315659013836108,0.00581894247997429,0.0026023101884767442,5,6.385986711229334,7.125389561190785,3.1865710849979982,5,-5.482653959681006,1.0248533325106275,0.4583283436921916,5,0.00597974553906614,0.00271361003348433,0.0012135632998592884,5,6.753631783798428,7.293788593032712,3.2618814215067387,5,0.00305275654591168,0.0026310985808548244,0.0011766630564589227,5,0.0,0.8
bc_plus_de_vjepa,decision_consistency_score,ALL,clean,0.2,0.44721359549995804,0.20000000000000004,5,755.112064022205,402.17400719367436,179.85768377370906,5,169.0,69.31810730249349,31.0,5,0.16455776116068446,0.08130744148057122,0.036361793245428674,5,0.7837291304154529,0.09136186809582197,0.04085826952272544,5,0.1581034918108748,0.0048465449627165145,0.002167440798528662,5,10.270687396811942,8.47342416377071,3.7894304864761237,5,-4.692775516211986,1.0426191943750882,0.4662734786537527,5,0.00640878429346934,0.002385286786443589,0.0010667326800639777,5,10.825790389751807,8.664834628532676,3.87503184863864,5,0.004375250300920579,0.00271604502132831,0.0012146522595279934,5,0.0,0.6
