candidate,candidate_planner_score,baseline,baseline_planner_score,metric,visual_condition,mean_difference,stderr,paired_t_pvalue,bootstrap_ci_low,bootstrap_ci_high,paired_units
bc_plus_de_vjepa,action_mean_consistency_score,bc_plus_vjepa,action_mean_consistency_score,success,ALL,0.0,0.0,,0.0,0.0,27
bc_plus_de_vjepa,action_mean_consistency_score,bc_plus_vjepa,action_mean_consistency_score,success,background_shift,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_plus_vjepa,action_mean_consistency_score,success,brightness,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_plus_vjepa,action_mean_consistency_score,success,clean,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_plus_vjepa,action_mean_consistency_score,return,ALL,0.023479628550191742,0.03976312081585807,0.55996190418666,-0.0610674412188907,0.09250877420837722,27
bc_plus_de_vjepa,action_mean_consistency_score,bc_plus_vjepa,action_mean_consistency_score,return,background_shift,0.0007323644322620263,0.0006545356099156061,0.29564818875204046,0.0,0.002051638492515748,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_plus_vjepa,action_mean_consistency_score,return,brightness,-0.00694306870980436,0.003875973805289508,0.11101729183355397,-0.014426357445125227,-0.001063350818063845,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_plus_vjepa,action_mean_consistency_score,return,clean,0.07664958992811756,0.12192857261656474,0.5471074820184044,-0.15397732824878652,0.2769166607229703,9
bc_plus_vjepa,action_mean_consistency_score,bc_only,bc_only,success,ALL,0.0,0.0,,0.0,0.0,27
bc_plus_vjepa,action_mean_consistency_score,bc_only,bc_only,success,background_shift,0.0,0.0,,0.0,0.0,9
bc_plus_vjepa,action_mean_consistency_score,bc_only,bc_only,success,brightness,0.0,0.0,,0.0,0.0,9
bc_plus_vjepa,action_mean_consistency_score,bc_only,bc_only,success,clean,0.0,0.0,,0.0,0.0,9
bc_plus_vjepa,action_mean_consistency_score,bc_only,bc_only,return,ALL,0.11351180657656233,0.08808349398246018,0.2088572726975921,-0.0284902130543778,0.31408767990803593,27
bc_plus_vjepa,action_mean_consistency_score,bc_only,bc_only,return,background_shift,-0.0013196612185690053,0.0013196612185690053,0.34659350708733416,-0.003958983655707016,0.0,9
bc_plus_vjepa,action_mean_consistency_score,bc_only,bc_only,return,brightness,0.008170934605120786,0.008925498995002392,0.3867125407377416,-0.0023016020412948515,0.026437440809522348,9
bc_plus_vjepa,action_mean_consistency_score,bc_only,bc_only,return,clean,0.3336841463431352,0.25781986840186116,0.23168638952167916,-0.0994636694767535,0.853132223483311,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_only,bc_only,success,ALL,0.0,0.0,,0.0,0.0,27
bc_plus_de_vjepa,action_mean_consistency_score,bc_only,bc_only,success,background_shift,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_only,bc_only,success,brightness,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_only,bc_only,success,clean,0.0,0.0,,0.0,0.0,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_only,bc_only,return,ALL,0.13699143512675407,0.095433975924482,0.16307875762464918,-0.01707178493712381,0.34200883969071944,27
bc_plus_de_vjepa,action_mean_consistency_score,bc_only,bc_only,return,background_shift,-0.0005872967863069789,0.0006729945508642574,0.40827516578306183,-0.001980072565326433,0.0002181822064054965,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_only,bc_only,return,brightness,0.0012278658953164268,0.006321506825709144,0.8508325038961887,-0.008579962555131715,0.014365053062761035,9
bc_plus_de_vjepa,action_mean_consistency_score,bc_only,bc_only,return,clean,0.41033373627125275,0.2734038292016318,0.17179197807134866,-0.04779951039796655,0.9968658039097326,9
bc_plus_de_vjepa,decision_consistency_score,bc_plus_vjepa,decision_consistency_score,success,ALL,-0.011111111111111106,0.020729799719034023,0.5965168036642052,-0.05185185185185186,0.02777777777777779,27
bc_plus_de_vjepa,decision_consistency_score,bc_plus_vjepa,decision_consistency_score,success,background_shift,0.03888888888888889,0.02468942893698775,0.1538763832191434,-4.625929269271485e-18,0.08888888888888889,9
bc_plus_de_vjepa,decision_consistency_score,bc_plus_vjepa,decision_consistency_score,success,brightness,-0.08333333333333333,0.03996526269427266,0.07054873222664837,-0.16666666666666666,-0.01666666666666667,9
bc_plus_de_vjepa,decision_consistency_score,bc_plus_vjepa,decision_consistency_score,success,clean,0.011111111111111127,0.030932024237944566,0.7287339886104586,-0.044583333333333315,0.06666666666666668,9
bc_plus_de_vjepa,decision_consistency_score,bc_plus_vjepa,decision_consistency_score,return,ALL,8.244146929533908,18.81363712546729,0.6648601752698028,-26.503185768521437,46.381006091927176,27
bc_plus_de_vjepa,decision_consistency_score,bc_plus_vjepa,decision_consistency_score,return,background_shift,69.75240128561734,42.36237732651804,0.1382638861230896,-2.781464302745137,154.00351559748427,9
bc_plus_de_vjepa,decision_consistency_score,bc_plus_vjepa,decision_consistency_score,return,brightness,-38.8827858517882,25.460286247054615,0.16523097863867153,-87.89036655966507,5.621742695144041,9
bc_plus_de_vjepa,decision_consistency_score,bc_plus_vjepa,decision_consistency_score,return,clean,-6.137174645227413,15.227099204579227,0.6974732009230143,-36.12476240347278,20.741834439999753,9
bc_plus_vjepa,decision_consistency_score,bc_only,bc_only,success,ALL,-0.053703703703703705,0.024008237832104446,0.03408620619467792,-0.10185185185185183,-0.00555555555555556,27
bc_plus_vjepa,decision_consistency_score,bc_only,bc_only,success,background_shift,-0.027777777777777776,0.02777777777777778,0.3465935070873343,-0.07777777777777779,0.022222222222222206,9
bc_plus_vjepa,decision_consistency_score,bc_only,bc_only,success,brightness,-0.01666666666666667,0.049999999999999996,0.7474509841694693,-0.1,0.08333333333333331,9
bc_plus_vjepa,decision_consistency_score,bc_only,bc_only,success,clean,-0.11666666666666667,0.03996526269427266,0.019314875063320115,-0.19444444444444445,-0.04444444444444443,9
bc_plus_vjepa,decision_consistency_score,bc_only,bc_only,return,ALL,-3.6620069842922582,24.95724733919855,0.8844760203221128,-51.92556262275624,39.89985006739557,27
bc_plus_vjepa,decision_consistency_score,bc_only,bc_only,return,background_shift,-39.68847129303698,60.14567302520118,0.527872191989446,-156.68333978083777,64.52465951138939,9
bc_plus_vjepa,decision_consistency_score,bc_only,bc_only,return,brightness,-13.503910149241797,42.563118785554515,0.7591624252344157,-97.87955518375315,57.04131986426706,9
bc_plus_vjepa,decision_consistency_score,bc_only,bc_only,return,clean,42.206360489402,14.36907422224175,0.018786930673023464,17.325387767459496,69.73043020672293,9
bc_plus_de_vjepa,decision_consistency_score,bc_only,bc_only,success,ALL,-0.06481481481481481,0.02229924921998573,0.0073744890448193354,-0.11111111111111109,-0.025925925925925925,27
bc_plus_de_vjepa,decision_consistency_score,bc_only,bc_only,success,background_shift,0.011111111111111106,0.013888888888888886,0.44681333411490876,-0.011111111111111113,0.03888888888888888,9
bc_plus_de_vjepa,decision_consistency_score,bc_only,bc_only,success,brightness,-0.09999999999999999,0.04409585518440984,0.05307344174327201,-0.1888888888888889,-0.02222222222222223,9
bc_plus_de_vjepa,decision_consistency_score,bc_only,bc_only,success,clean,-0.10555555555555556,0.04034955290648319,0.030840153548662007,-0.18888888888888886,-0.03333333333333332,9
bc_plus_de_vjepa,decision_consistency_score,bc_only,bc_only,return,ALL,4.582139945241653,16.301741550637495,0.7808716664089422,-28.150735142893474,34.613968141892244,27
bc_plus_de_vjepa,decision_consistency_score,bc_only,bc_only,return,background_shift,30.063929992580356,30.207717026934407,0.34876546437122896,-23.660786110848605,86.55827772437014,9
bc_plus_de_vjepa,decision_consistency_score,bc_only,bc_only,return,brightness,-52.386696001029996,24.84314624862759,0.06801093706670533,-102.54604441917375,-15.265832877165309,9
bc_plus_de_vjepa,decision_consistency_score,bc_only,bc_only,return,clean,36.0691858441746,21.226575415393807,0.12769839720934764,2.51027016523836,79.36880308847938,9
bc_plus_de_vjepa,entropy_score,bc_plus_vjepa,entropy_score,success,ALL,0.011111111111111118,0.02659891678563322,0.6795757288683336,-0.04074074074074073,0.06300925925925903,27
bc_plus_de_vjepa,entropy_score,bc_plus_vjepa,entropy_score,success,background_shift,0.011111111111111127,0.03888888888888888,0.7823552788221827,-0.06111111111111108,0.08333333333333333,9
bc_plus_de_vjepa,entropy_score,bc_plus_vjepa,entropy_score,success,brightness,0.02222222222222222,0.03130396574884623,0.49794182842611273,-0.027777777777777776,0.08888888888888889,9
bc_plus_de_vjepa,entropy_score,bc_plus_vjepa,entropy_score,success,clean,6.1679056923619804e-18,0.06614378277661476,0.9999999999999999,-0.12777777777777777,0.11666666666666667,9
bc_plus_de_vjepa,entropy_score,bc_plus_vjepa,entropy_score,return,ALL,16.174511870667708,15.479534205029603,0.3056887544415726,-12.558194693500216,45.71399092151961,27
bc_plus_de_vjepa,entropy_score,bc_plus_vjepa,entropy_score,return,background_shift,8.579461394090382,32.48452289890169,0.7983720375255609,-57.114461127493854,63.93913924903662,9
bc_plus_de_vjepa,entropy_score,bc_plus_vjepa,entropy_score,return,brightness,19.978709068723848,16.327960914494188,0.2559210566928836,-1.0560614699848283,53.29713083121318,9
bc_plus_de_vjepa,entropy_score,bc_plus_vjepa,entropy_score,return,clean,19.965365149188887,31.679541538203882,0.546120903501594,-26.158127248624144,84.99620652293872,9
bc_plus_vjepa,entropy_score,bc_only,bc_only,success,ALL,-0.09074074074074075,0.037079747453346655,0.021465661967559696,-0.1704166666666667,-0.022222222222222223,27
bc_plus_vjepa,entropy_score,bc_only,bc_only,success,background_shift,0.011111111111111103,0.04914390559153926,0.8267983113616161,-0.09444444444444446,0.08333333333333331,9
bc_plus_vjepa,entropy_score,bc_only,bc_only,success,brightness,-0.09444444444444444,0.05030769521187453,0.09730337669043988,-0.19444444444444445,0.0,9
bc_plus_vjepa,entropy_score,bc_only,bc_only,success,clean,-0.18888888888888888,0.07718024438583225,0.04010065641951383,-0.3333333333333333,-0.04444444444444444,9
bc_plus_vjepa,entropy_score,bc_only,bc_only,return,ALL,-9.179723841066346,24.34476191980391,0.7091804611289314,-59.346321461268275,37.86938290571574,27
bc_plus_vjepa,entropy_score,bc_only,bc_only,return,background_shift,26.65432771565089,39.128137255790634,0.514971796891022,-27.339069663000657,111.30443196087958,9
bc_plus_vjepa,entropy_score,bc_only,bc_only,return,brightness,-60.928240636484055,51.59071020582031,0.271523334515309,-161.52053631837165,27.72819849802941,9
